feature,lag,n,pearson_r,pearson_p,spearman_r,spearman_p,note
sent_zero_fill_roll7,0,1864,0.0015989649489321193,0.9449995260700058,0.03735093349153824,0.10694617696244514,
sent_zero_fill_roll7,1,1864,0.0010241403819243626,0.964755618887662,0.0203292932665129,0.3803779424594167,
sent_zero_fill_roll7,3,1864,0.010786865941363664,0.641635009708895,0.058692285259609046,0.01126176441489793,
sent_zero_fill_roll7,7,1864,0.014444268788401741,0.5331320752394153,0.015429276989758964,0.505578964457448,
sent_skipna_roll3,0,130,0.010267065536887653,0.9077040603387455,0.15128572485276914,0.08576617692642836,
sent_skipna_roll3,1,130,0.06349661391536345,0.4729390675663082,0.195988384436376,0.025433858537314814,
sent_skipna_roll3,3,127,0.06012703163473463,0.5018985624852051,0.199995645222775,0.024172361070446177,
sent_skipna_roll3,7,124,0.05827397324525393,0.5202979629243181,0.058864458765579004,0.516072267706129,
sent_skipna_roll7,0,130,0.034811444631490315,0.6941737587713613,0.16776173580220924,0.05641082275768824,
sent_skipna_roll7,1,130,0.012979363200810284,0.883475866302386,0.11256023309520805,0.20229324988358607,
sent_skipna_roll7,3,127,0.04448180104166034,0.619489522586689,0.19999148366191102,0.02417537085348067,
sent_skipna_roll7,7,124,0.11225266460154412,0.21450955004100514,0.12923630437477115,0.1525602960995692,
sent_skipna_roll14,0,130,0.07015405182535274,0.42770107710259175,0.17882016118491123,0.04178955166067182,
sent_skipna_roll14,1,130,0.044265001144089856,0.6170262012876851,0.16752596407011577,0.056763374609614385,
sent_skipna_roll14,3,127,0.06947545250179392,0.43766293009741436,0.17636585163829308,0.04731527886397283,
sent_skipna_roll14,7,124,0.1017981706081896,0.2605800036294727,0.16660454597866484,0.06440179560447327,
neg_count_7d,0,1864,-0.07997690554069167,0.0005479519079011028,-0.11409572852506558,7.860176154703488e-07,
neg_count_7d,1,1864,-0.07888109683849666,0.0006528627730373954,-0.11287075831444328,1.031983922482732e-06,
neg_count_7d,3,1864,-0.07135274322555062,0.0020530355817769464,-0.11662798030607337,4.4374391689695336e-07,
neg_count_7d,7,1864,-0.0618295210115039,0.007580696040766883,-0.11306952576487532,9.87574262463364e-07,
pos_count_7d,0,1864,-0.0744930014254301,0.0012887159592844429,-0.11867731591285433,2.769195146742588e-07,
pos_count_7d,1,1864,-0.07537297683894857,0.0011275196962988428,-0.11159328282920647,1.3667301994510954e-06,
pos_count_7d,3,1864,-0.06996116449850849,0.0025095687216352682,-0.10615094681688822,4.371804437785022e-06,
pos_count_7d,7,1864,-0.054815204161545665,0.01794324437881091,-0.11646970481198433,4.600502819046252e-07,
neg_ratio_7d,0,370,-0.14752974067537097,0.004458381588854474,-0.2202222292359092,1.9172649575435255e-05,
neg_ratio_7d,1,368,-0.1296281046883242,0.012819405233746287,-0.2087813072053978,5.435641648052382e-05,
neg_ratio_7d,3,367,-0.1432527106139278,0.005974857923827217,-0.21723899816877515,2.695916344446287e-05,
neg_ratio_7d,7,370,-0.11181717938575823,0.031530204414555944,-0.1817326622379452,0.00044279806463356895,
sent_vol_7d,0,130,-0.13237045611157072,0.13327972381897785,-0.1716042591386423,0.050914542133696526,
sent_vol_7d,1,130,-0.2107226890253104,0.016106649087869903,-0.25019877816415304,0.004092249123721784,
sent_vol_7d,3,127,-0.21537900529677742,0.015023521101051065,-0.2719174507381629,0.001984491483628538,
sent_vol_7d,7,124,-0.17277806609845847,0.05499099494905923,-0.28040101585348404,0.0016087217414804248,
